"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"grudzień";"ciepła woda - za 1m3";"cena";"2013";20,90;"zł";"";
0000000;"POLSKA";"grudzień";"ciepła woda - za 1m3";"cena";"2014";21,34;"zł";"";
0000000;"POLSKA";"grudzień";"ciepła woda - za 1m3";"cena";"2015";21,68;"zł";"";
0000000;"POLSKA";"grudzień";"ciepła woda - za 1m3";"cena";"2016";21,79;"zł";"";
0000000;"POLSKA";"grudzień";"ciepła woda - za 1m3";"cena";"2017";21,69;"zł";"";
0000000;"POLSKA";"grudzień";"ciepła woda - za 1m3";"cena";"2018";22,09;"zł";"";
0000000;"POLSKA";"grudzień";"ciepła woda - za 1m3";"cena";"2019";22,75;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2006";12,96;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2007";13,53;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2008";13,57;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2009";14,03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2010";14,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2011";15,97;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2012";16,45;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2013";16,71;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2014";18,13;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2015";18,06;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2016";18,59;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2017";18,94;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2018";20,54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ciepła woda - za 1m3";"cena";"2019";21,14;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"ciepła woda - za 1m3";"cena";"2006";13,12;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"ciepła woda - za 1m3";"cena";"2007";13,53;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"ciepła woda - za 1m3";"cena";"2008";13,57;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"ciepła woda - za 1m3";"cena";"2009";14,19;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"ciepła woda - za 1m3";"cena";"2010";14,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"ciepła woda - za 1m3";"cena";"2011";16,01;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"ciepła woda - za 1m3";"cena";"2012";16,45;"zł";"";
