"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2014";2,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2015";2,76;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2016";2,72;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2017";2,80;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,87;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2006";2,58;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2007";2,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2008";2,64;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2009";2,75;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2010";2,91;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2011";2,94;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2012";3,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2013";2,91;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2014";2,87;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2015";2,73;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2016";2,74;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2017";2,82;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2006";2,57;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2007";2,55;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2008";2,63;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2009";2,82;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2010";2,93;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2011";2,94;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2012";2,95;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2013";2,93;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2014";2,86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2015";2,73;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2016";2,68;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2017";2,78;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,84;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";3,02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2006";2,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2007";2,57;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2008";2,63;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2009";2,89;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2010";2,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2011";2,95;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2012";3,01;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2013";2,94;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2014";2,87;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2015";2,73;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2016";2,72;"zł";"";
