"Kod";"Nazwa";"Grupy towarów i usług";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2004";103,6;" --";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2005";102,2;" --";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2006";100,6;" --";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2007";102,3;" --";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2008";104,3;" --";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2009";103,3;" --";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2010";103,1;" --";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2011";104,6;" --";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2012";104,1;" --";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2013";100,9;" --";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2014";99,9;" --";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2015";99,2;" --";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2016";99,5;" --";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2017";101,6;" --";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2018";101,5;" --";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2003";100,9;" --";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2004";103,6;" --";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2005";102,1;" --";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2006";100,7;" --";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2007";102,4;" --";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2008";104,7;" --";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2009";103,6;" --";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2010";102,8;" --";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2011";104,7;" --";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2012";104,0;" --";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2013";101,1;" --";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2014";100,2;" --";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2015";98,9;" --";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2016";99,4;" --";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2017";102,3;" --";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2018";101,8;" --";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2003";100,8;" --";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2004";103,4;" --";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2005";101,8;" --";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2006";100,9;" --";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2007";102,4;" --";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2008";104,2;" --";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2009";103,7;" --";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2010";102,7;" --";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2011";104,3;" --";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2012";103,7;" --";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2013";100,9;" --";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2014";100,3;" --";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2015";99,7;" --";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2016";99,1;" --";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2017";101,4;" --";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2018";101,4;" --";"";
